university;study_programme
University of Oxford;Biomedical Imaging
University of Oxford;Psychodynamic Practice
University College London;Advanced Architectural Research
University of East Anglia;Environmental Sciences with a Year in Australasia
University of East Anglia;Climate Science with a Year in Industry
University of Oxford;Taxation
University of Aberdeen;Cultural History
London School of Economics and Political Science;Sociology
University of Kent at Canterbury;French and History
University of Oxford;Synthesis for Biology and Medicine
Imperial College London;Advanced Chemical Engineering
University of Essex;Economics with Portuguese
University of London;Project Management (Media Pathway)
Bournemouth University;Computer Visualisation and Animation
Metropolitan University;Embedded Systems
University of Birmingham;Political Science
University of Warwick;International Trade Strategy and Operations
University of Greenwich;Business Studies
Glasgow Caledonian University;Law with Risk
University of London;Theatre (Directing)
University of Kent at Canterbury;Physics MPhys
Metropolitan University;Graduate Diploma
University of Aberdeen;Accounting and Finance
Imperial College London;Electronic and Information Engineering
University of Nottingham;ESRC DTC Scholarships
University of Birmingham;Civil Engineering PhD
University of Essex;Financial Management (including Year Abroad)
Imperial College London;Green Chemistry, Energy and the Environment
University of Oxford;Egyptology
University of Oxford;Software Engineering
University of Worcester;Advancing Practice (previously Advanced,Social and Health Care Studies)
University of East Anglia;French and Film and Television
Coventry University;Sport Marketing
The University of Buckingham;Business and Management with Spanish
University College London;Drug Discovery and Development
University of Dundee;Animation
University of East Anglia;Translation, Media and French (3 Years)
University of Cambridge;Gas Turbine Aerodynamics
University of Kent at Canterbury;Business Administration with a Year in Industry
University of Oxford;Historical Studies
The University of Buckingham;Computing with Economics
University of Cambridge;Educational Research
Brunel University Uxbridge;Electronic and Computer Engineering
University of Kent at Canterbury;German and Drama
University of Dundee;European Studies and International Relations
University Campus Suffolk;Fine Art
University of Lincoln;Mechanical Engineering
University of Greenwich;Film Studies
University of Kent at Canterbury;English Language and Linguistics
University of Oxford;Modern Languages
University of Northumbria at Newcastle;Doctor of Business Leadership
Bournemouth University;Business Studies with Marketing
London School of Economics and Political Science;Management with Law
University of Southampton;Computer Science with Image and Multimedia Systems
University of Kent at Canterbury;Comparative Literature
University College London;Economy State and Society — Economics and Business
University of Bradford;International Development Management
University of Bradford;Nursing Studies (International)
University of Sunderland;Media, Culture and Communication
University of Cambridge;Manufacturing Engineering
University College London;International Real Estate and Planning
University of Nottingham;Environmental and Resource Engineering
Sheffield Hallam University;Nutrition with Public Health Management
University of Surrey;Process Systems Engineering
